tag,n,start,load,style.load,idle
(index):64 idle,20,692.6999999880791,2390.5,530.7000000178814,2391.0999999940395

(index):64 idle,20,727.0999999940395,2345.5,561,2346.300000011921

(index):64 idle,1000,729.6999999880791,2556.9000000059605,529.9000000059605,2557.300000011921

(index):64 idle,10,752.1999999880791,2267.5999999940395,545.5999999940395,2267.9000000059605

(index):64 idle,500,719.0999999940395,2564.300000011921,496.40000000596046,2564.800000011921

(index):64 idle,1,764.5,2356.2000000178814,510.7000000178814,2658.2000000178814

(index):64 idle,20,564.5,2460,621.7000000178814,2749.5

(index):64 idle,10,586.7999999821186,2334.4000000059605,601,2334.9000000059605

(index):64 idle,1,706.5,2428.300000011921,477.30000001192093,2428.800000011921

(index):64 idle,20,743.5,2491.2999999821186,525,2491.699999988079

(index):64 idle,500,824.5999999940395,2866.0999999940395,622.8000000119209,2866.4000000059605

(index):64 idle,500,690.5,3070.0999999940395,858.8999999761581,3070.399999976158

(index):64 idle,1000,705.5,5434.200000017881,573.8000000119209,5434.9000000059605



idle,500,901.9000000059605,4559.9000000059605,1454.7000000178814,4560.4000000059605

(index):64 idle,500,1242.7999999821186,7116.200000017881,3217.9000000059605,7117.200000017881

(index):64 idle,500,989.6000000238419,4895.5999999940395,979.5,4896.299999982119

(index):64 idle,10,721.0999999940395,2618,778.3000000119209,2618.300000011921

(index):64 idle,1,602,2533.7999999821186,677.8999999761581,2578.699999988079

(index):64 idle,500,753.6000000238419,2624.2999999821186,496.69999998807907,2919.7999999821186

(index):64 idle,20,594.9000000059605,2750.0999999940395,679.1999999880791,2750.5999999940395

(index):64 idle,500,631.5999999940395,2859,728,3227.199999988079

(index):64 idle,1000,588.9000000059605,2586,590.4000000059605,2586.5

(index):64 idle,1,590.1999999880791,2528.199999988079,646.5,2528.5999999940395

(index):64 idle,1,762,2539.100000023842,562.7000000178814,2539.300000011921

(index):64 idle,10,840,2690.199999988079,731.5999999940395,2987.9000000059605

(index):64 idle,10,579.3999999761581,2373.300000011921,690.2000000178814,2373.600000023842

(index):64 idle,20,589.5,2483.0999999940395,669.4000000059605,2514

(index):64 idle,10,787.4000000059605,2418,609.4000000059605,2418.300000011921

(index):64 idle,10,609.9000000059605,2726.0999999940395,701,3194.0999999940395

(index):64 idle,100,585.7999999821186,2510.800000011921,678.5,2538.5999999940395

(index):64 idle,100,829.1999999880791,2506.5999999940395,628.8000000119209,2797

(index):64 idle,1,595.7000000178814,2500.399999976158,702.3999999761581,2500.7999999821186

(index):64 idle,500,707.8000000119209,2506,541.0999999940395,2506.5

(index):64 idle,1000,755.1999999880791,2680.4000000059605,615.5,2681

(index):64 idle,20,717.9000000059605,2587.199999988079,580.2999999821186,2894.4000000059605

(index):64 idle,1,548.5,2395.0999999940395,652.8000000119209,2395.5

(index):64 idle,20,615.8000000119209,2414.199999988079,692.9000000059605,2414.5999999940395

(index):64 idle,1000,593.9000000059605,2509.5,688.7000000178814,2510

(index):64 idle,500,758.5999999940395,2420.2000000178814,466.7000000178814,2420.7000000178814

(index):64 idle,1000,713.4000000059605,2583.5,558,2584

(index):64 idle,20,769.6999999880791,2755.4000000059605,652.6999999880791,2755.9000000059605

(index):64 idle,100,696.3999999761581,2705.2000000178814,776.5,2705.7000000178814

(index):64 idle,1000,649,2772.7000000178814,719.8000000119209,2773.2000000178814

(index):64 idle,1000,587.8000000119209,2514.7999999821186,642.6999999880791,2515.199999988079

(index):64 idle,100,761.6999999880791,2529.5,543.9000000059605,2530

(index):64 idle,1,707.9000000059605,2360.7999999821186,466.69999998807907,2361.4000000059605

(index):64 idle,20,737,2937.199999988079,549.0999999940395,2937.699999988079

(index):64 idle,10,846.9000000059605,2487.800000011921,670,2488.300000011921

(index):64 idle,1,739.7000000178814,2597.2999999821186,549.8999999761581,2597.699999988079

(index):64 idle,100,687.5,2564.0999999940395,524.5999999940395,2564.5

