tag,n,start,load,style.load,idle
​(index):64 idle,5000,5494.5,31372.40000000596,4890,31375.40000000596

(index):64 idle,10,7039.200000017881,16431.5,3636.5999999940395,16434.19999998808

(index):64 idle,10,5123.9000000059605,17556,5505.300000011921,17557.40000000596

(index):64 idle,10000,5060.199999988079,41332.69999998808,5625.0999999940395,41335.19999998808

(index):64 idle,1,4777.5,14670.59999999404,3286.2999999821186,14674.799999982119

(index):64 idle,100,8082.600000023842,19934.399999976158,3268.899999976158,19938

(index):64 idle,20,13354.699999988079,32261.5,11287,32268.80000001192

(index):64 idle,5000,10152.40000000596,49143,15382.90000000596,49149.59999999404

(index):64 idle,10000,9120,42176.90000000596,4904.9000000059605,42178.90000000596

(index):64 idle,5000,3333,29884,6195.4000000059605,29886.5


idle,500,4506.199999988079,29660.09999999404,5797.300000011921,29663.90000000596

(index):64 idle,10,6187.9000000059605,20009.59999999404,3565.9000000059605,20012.70000001788

(index):64 idle,10000,7547.5,46674.90000000596,3824.7999999821186,46677.79999998212

(index):64 idle,1000,6979.0999999940395,29747.5,5692.9000000059605,29750.40000000596

(index):64 idle,1,7067.199999988079,38344.40000000596,12289.40000000596,38348.40000000596

(index):64 idle,1,7642.199999988079,27074.80000001192,6794,27079.5

(index):64 idle,10000,12980.09999999404,51634.59999999404,6780.0999999940395,51642.69999998808

(index):64 idle,1000,10372.90000000596,34250.30000001192,10012.5,34256.20000001788

(index):64 idle,500,4550.699999988079,24767.5,7568,24771.600000023842

(index):64 idle,100,9702.59999999404,246876.09999999404,5442.300000011921,246880.09999999404

(index):64 idle,10000,5354.300000011921,39310.79999998212,5506.699999988079,39318.79999998212

(index):64 idle,1,7904.299999982119,18068.09999999404,3743.7000000178814,18070.30000001192

(index):64 idle,5000,11606.699999988079,27080.59999999404,3479.2000000178814,27083.40000000596

(index):64 idle,1,9067.800000011921,17458.59999999404,3442.9000000059605,17461.09999999404

(index):64 idle,1000,5832.199999988079,21340.5,5433.300000011921,21343

(index):64 idle,10000,5401.799999982119,40016.90000000596,5185.0999999940395,40019.5

(index):64 idle,20,5403.5,15111.59999999404,3657.5,15119.699999988079

(index):64 idle,10000,8162.799999982119,36123,6110.5,36125.30000001192

(index):64 idle,20,5565,22534.90000000596,5902.5,22536.90000000596

(index):64 idle,5000,2613.2000000178814,27253.90000000596,5240.5999999940395,27256.5

(index):64 idle,10000,2645.300000011921,39264.29999998212,4831.699999988079,39266.89999997616

(index):64 idle,20,2946,19292.59999999404,6612.9000000059605,19301.09999999404

(index):64 idle,20,5700.5,21260.79999998212,5869.799999982119,21262.5

(index):64 idle,1,2675.4000000059605,21728.90000000596,6618.700000017881,21734.40000000596

(index):64 idle,1,2956.199999988079,20967.80000001192,5403.700000017881,20970


idle,5000,9642.600000023842,57016.09999999404,6281.299999982119,57021.59999999404

(index):64 idle,500,5176.299999982119,35355.90000000596,7880,35360.80000001192

(index):64 idle,20,4270.4000000059605,28581,8934.700000017881,28583.40000000596

(index):64 idle,100,4348.9000000059605,33244.09999999404,9102.09999999404,33247.89999997616

(index):64 idle,10,8951.699999988079,32253,10101.5,32264.80000001192

(index):64 idle,1000,5271.800000011921,31963.09999999404,9354.300000011921,31966.69999998808

(index):64 idle,20,6613.0999999940395,20668.80000001192,4933.0999999940395,20672.09999999404

(index):64 idle,10000,10929.5,42950.30000001192,5276.300000011921,42952.60000002384

(index):64 idle,500,6374,24608.40000000596,6492.699999988079,24610.5

(index):64 idle,5000,2951.0999999940395,41312,7747,41318.09999999404

(index):64 idle,5000,4406.300000011921,388647.39999997616,8371.5,388650.6999999881

(index):64 idle,500,9018,22186.5,4332.800000011921,22189.90000000596

(index):64 idle,1000,2835.0999999940395,28049.80000001192,5651.300000011921,28052.40000000596

(index):64 idle,1,3135,23006.5,6932.299999982119,23010.40000000596

(index):64 idle,5000,3117,30562.20000001788,5709.800000011921,30564.20000001788

(index):64 idle,10,4321,15213.59999999404,3733,15216.90000000596












